,Month,SalesSystemCode,TITULO,SupervisorEmployeeID,Monthly Subscribers,Churned Subscribers,MonthsofEmploymentRounded,Exit Date,Características (D),Características (I),Características (S),Características (C),Motivación (D),Motivación (I),Motivación (S),Motivación (C),Bajo Stress (D),Bajo Stress (I),Bajo Stress (S),Bajo Stress (C),Rental Charge,Cost to Company,Revenue Per CtC
41,2017-12-01,802830.0,SALES EXECUTIVE ,1812431,,,1.0,2018-03-23,87.0,25.0,40.0,53.0,86.0,25.0,58.0,33.0,87.0,45.0,40.0,74.0,,1533.33,
42,2017-12-01,802835.0,SALES EXECUTIVE ,1812431,,,1.0,2018-03-23,60.0,55.0,57.0,60.0,59.0,74.0,40.0,55.0,60.0,45.0,79.0,74.0,,1533.33,
43,2017-12-01,94051.0,SALES EXECUTIVE,6831,,,76.0,,,,,,,,,,,,,,,1533.33,
44,2017-12-01,2787.0,SALES EXECUTIVE ,94051,38.0,3.0,1.0,2018-08-25,,,,,,,,,,,,,539.8124999999998,1533.33,0.3520523957660776
45,2017-12-01,802498.0,SALES EXECUTIVE,94051,,,8.0,2018-02-28,80.0,62.0,33.0,34.0,75.0,74.0,40.0,55.0,87.0,60.0,40.0,31.0,,1533.33,
46,2017-12-01,802499.0,SALES EXECUTIVE,94051,,,8.0,,87.0,25.0,4.0,85.0,86.0,25.0,30.0,55.0,87.0,45.0,2.0,96.0,,1533.33,
47,2017-12-01,802482.0,SALES EXECUTIVE,94051,66.0,4.0,8.0,,65.0,15.0,71.0,53.0,69.0,25.0,58.0,33.0,60.0,18.0,89.0,74.0,997.8999999999999,1533.33,0.650805762621223
48,2017-12-01,802623.0,SALES EXECUTIVE,94051,,,6.0,2018-05-10,,,,,,,,,,,,,,1533.33,
49,2017-12-01,802610.0,SALES EXECUTIVE,94051,48.0,3.0,6.0,,48.0,33.0,85.0,70.0,40.0,40.0,84.0,84.0,60.0,45.0,89.0,60.0,792.8624349999999,1533.33,0.5170853208376539
50,2017-12-01,802636.0,SALES EXECUTIVE,94051,64.0,4.0,6.0,,,,,,,,,,,,,,870.5945699999999,1533.33,0.567780301696308
51,2017-12-01,812408.0,SALES EXECUTIVE,94051,,,9.0,2018-05-01,67.0,55.0,48.0,25.0,69.0,40.0,58.0,33.0,69.0,75.0,60.0,31.0,,1533.33,
52,2017-12-01,802589.0,SALES EXECUTIVE,94051,42.0,5.0,6.0,2018-05-28,43.0,55.0,40.0,85.0,40.0,58.0,30.0,84.0,45.0,60.0,69.0,84.0,606.3905699999999,1533.33,0.3954729705934143
53,2017-12-01,802620.0,SALES EXECUTIVE,94051,,,6.0,2018-05-29,67.0,55.0,16.0,79.0,59.0,40.0,18.0,73.0,79.0,75.0,18.0,94.0,,1533.33,
54,2017-12-01,802707.0,SALES EXECUTIVE,94051,,,3.0,,60.0,72.0,60.0,30.0,59.0,74.0,30.0,55.0,60.0,75.0,40.0,74.0,,1533.33,
55,2017-12-01,812766.0,SALES EXECUTIVE ,94051,,,2.0,,33.0,95.0,40.0,85.0,22.0,96.0,40.0,84.0,45.0,75.0,60.0,84.0,,1533.33,
56,2017-12-01,802774.0,SALES EXECUTIVE ,94051,,,2.0,2018-05-18,80.0,96.0,2.0,34.0,69.0,90.0,30.0,33.0,95.0,99.0,2.0,48.0,,1533.33,
57,2017-12-01,802775.0,SALES EXECUTIVE ,94051,,,2.0,2018-07-27,60.0,55.0,33.0,90.0,45.0,74.0,40.0,84.0,69.0,45.0,40.0,92.0,,1533.33,
58,2017-12-01,802831.0,SALES EXECUTIVE ,94051,44.0,3.0,1.0,2018-03-28,43.0,86.0,57.0,79.0,22.0,90.0,58.0,73.0,69.0,75.0,69.0,84.0,662.9499999999997,1533.33,0.43235963556442497
59,2017-12-01,701447.0,SALES EXECUTIVE,Aff - 90671,71.0,3.0,16.0,,48.0,7.0,40.0,96.0,30.0,25.0,58.0,96.0,69.0,6.0,40.0,92.0,965.7924999999997,1533.33,0.6298660431870502
60,2017-12-01,802490.0,SALES EXECUTIVE,Aff - 90671,,,8.0,2018-07-27,40.0,79.0,75.0,53.0,40.0,82.0,75.0,73.0,40.0,75.0,79.0,48.0,,1533.33,
61,2017-12-01,701055.0,SALES EXECUTIVE,Aff - 90671,,,32.0,2018-05-25,,,,,,,,,,,,,,1533.33,
62,2017-12-01,812461.0,SALES EXECUTIVE,Aff - 90671,,,9.0,2018-06-29,80.0,10.0,33.0,85.0,86.0,25.0,40.0,33.0,69.0,10.0,40.0,98.0,,1533.33,
63,2017-12-01,2411.0,SALES EXECUTIVE,Aff - 90671,,,9.0,2018-07-05,67.0,72.0,40.0,70.0,45.0,58.0,40.0,84.0,87.0,86.0,60.0,60.0,,1533.33,
64,2017-12-01,812409.0,SALES EXECUTIVE,Aff - 90671,,,9.0,,40.0,15.0,62.0,99.0,40.0,40.0,58.0,96.0,40.0,10.0,79.0,99.0,,1533.33,
65,2017-12-01,802545.0,SALES EXECUTIVE,Aff - 90671,,,6.0,2018-07-27,52.0,15.0,40.0,94.0,59.0,10.0,58.0,96.0,45.0,30.0,40.0,84.0,,1533.33,
66,2017-12-01,802495.0,SALES EXECUTIVE,Aff - 90671,50.0,3.0,8.0,2018-07-27,65.0,72.0,30.0,79.0,75.0,74.0,30.0,55.0,45.0,75.0,40.0,92.0,780.5874999999997,1533.33,0.5090799110432848
67,2017-12-01,802640.0,SALES EXECUTIVE,Aff - 90671,48.0,4.0,6.0,2018-07-27,60.0,86.0,33.0,25.0,45.0,74.0,65.0,18.0,69.0,95.0,18.0,48.0,620.8149999999998,1533.33,0.40488022800049556
68,2017-12-01,802678.0,SALES EXECUTIVE,Aff - 90671,,,4.0,2018-07-27,,,,,,,,,,,,,,1533.33,
69,2017-12-01,802624.0,SALES EXECUTIVE,Aff - 90671,,,6.0,2018-02-02,43.0,86.0,40.0,53.0,59.0,90.0,30.0,55.0,32.0,75.0,69.0,60.0,,1533.33,
